order_date,month,region,channel,category,product_line,campaign,orders,units,revenue,gross_profit,discount_pct,return_rate,new_customers,repeat_customers
2026-04-03,2026-04,Сибирь,Онлайн,Электроника,Смартфоны,Весенний старт,142,168,2856000,742560,0.08,0.021,62,80
2026-04-05,2026-04,Сибирь,Розница,Электроника,Смартфоны,Весенний старт,118,136,2312000,578000,0.11,0.029,38,80
2026-04-08,2026-04,Урал,Онлайн,Дом и сад,Кухня,Без кампании,156,221,1768000,601120,0.04,0.015,71,85
2026-04-11,2026-04,Урал,Розница,Дом и сад,Кухня,Без кампании,133,189,1424000,469920,0.05,0.018,44,89
2026-04-14,2026-04,Поволжье,Онлайн,Красота,Уход,Выгодный набор,181,254,1521000,486720,0.13,0.041,96,85
2026-04-17,2026-04,Поволжье,Розница,Красота,Уход,Выгодный набор,159,223,1295000,388500,0.14,0.048,58,101
2026-05-03,2026-05,Сибирь,Онлайн,Электроника,Смартфоны,Майские дни,176,209,3511200,912912,0.07,0.019,78,98
2026-05-05,2026-05,Сибирь,Розница,Электроника,Смартфоны,Майские дни,141,166,2788800,669312,0.10,0.027,45,96
2026-05-08,2026-05,Урал,Онлайн,Дом и сад,Кухня,Майские дни,193,276,2214000,774900,0.06,0.017,85,108
2026-05-11,2026-05,Урал,Розница,Дом и сад,Кухня,Майские дни,158,225,1782000,605880,0.07,0.021,52,106
2026-05-14,2026-05,Поволжье,Онлайн,Красота,Уход,Выгодный набор,207,289,1840500,570555,0.15,0.044,109,98
2026-05-17,2026-05,Поволжье,Розница,Красота,Уход,Выгодный набор,176,248,1537600,445904,0.16,0.052,63,113
2026-06-03,2026-06,Сибирь,Онлайн,Электроника,Смартфоны,Летний спрос,164,192,3110400,777600,0.09,0.024,69,95
2026-06-05,2026-06,Сибирь,Розница,Электроника,Смартфоны,Летний спрос,132,154,2448600,563178,0.12,0.033,39,93
2026-06-08,2026-06,Урал,Онлайн,Дом и сад,Кухня,Летний спрос,171,241,1947000,642510,0.08,0.019,74,97
2026-06-11,2026-06,Урал,Розница,Дом и сад,Кухня,Летний спрос,145,205,1606500,514080,0.09,0.024,46,99
2026-06-14,2026-06,Поволжье,Онлайн,Красота,Уход,Выгодный набор,188,261,1598000,447440,0.17,0.058,88,100
2026-06-17,2026-06,Поволжье,Розница,Красота,Уход,Выгодный набор,161,227,1368500,355810,0.18,0.066,51,110
2026-07-03,2026-07,Сибирь,Онлайн,Электроника,Смартфоны,Летний спрос,151,176,2718000,625140,0.13,0.031,57,94
2026-07-05,2026-07,Сибирь,Розница,Электроника,Смартфоны,Летний спрос,119,140,2072000,435120,0.16,0.042,31,88
2026-07-08,2026-07,Урал,Онлайн,Дом и сад,Кухня,Летний спрос,160,224,1702400,527744,0.11,0.028,63,97
2026-07-11,2026-07,Урал,Розница,Дом и сад,Кухня,Летний спрос,137,193,1433000,429900,0.12,0.031,42,95
2026-07-14,2026-07,Поволжье,Онлайн,Красота,Уход,Распродажа,202,281,1494800,328856,0.23,0.079,92,110
2026-07-17,2026-07,Поволжье,Розница,Красота,Уход,Распродажа,179,253,1292800,271488,0.25,0.087,55,124
2026-08-03,2026-08,Сибирь,Онлайн,Электроника,Смартфоны,Без кампании,139,161,2221800,444360,0.18,0.047,44,86
2026-08-05,2026-08,Сибирь,Розница,Электроника,Смартфоны,Без кампании,108,126,1713600,308448,0.21,0.058,27,81
2026-08-08,2026-08,Урал,Онлайн,Дом и сад,Кухня,Без кампании,147,206,1457600,364400,0.15,0.034,51,96
2026-08-11,2026-08,Урал,Розница,Дом и сад,Кухня,Без кампании,122,172,1195400,286896,0.17,0.041,35,87
2026-08-14,2026-08,Поволжье,Онлайн,Красота,Уход,Распродажа,184,257,1252800,225504,0.29,0.098,73,111
2026-08-17,2026-08,Поволжье,Розница,Красота,Уход,Распродажа,154,218,1056400,179588,0.31,0.112,39,115
2026-08-20,2026-08,Сибирь,Онлайн,Дом и сад,Текстиль,Без кампании,113,180,847500,220350,0.19,0.026,37,76
2026-08-24,2026-08,Урал,Розница,Электроника,Наушники,Без кампании,141,164,1156200,254364,0.18,0.049,45,96
