Дата,Регион,Категория,Выручка,Заказы,Клиент
2026-07-01,Сибирь,Электроника,125000,84,C-1001
2026-07-01,Урал,Электроника,98000,67,C-1002
2026-07-01,Центр,Дом и сад,76000,91,C-1003
2026-07-15,Сибирь,Дом и сад,84000,102,C-1001
2026-07-15,Урал,Одежда,65000,88,C-1004
2026-07-15,Центр,Электроника,142000,95,C-1005
2026-08-01,Сибирь,Электроника,89000,61,C-1001
2026-08-01,Урал,Электроника,72000,53,C-1002
2026-08-01,Центр,Дом и сад,68000,83,C-1003
2026-08-15,Сибирь,Дом и сад,59000,74,C-1006
2026-08-15,Урал,Одежда,47000,65,C-1004
2026-08-15,Центр,Электроника,101000,70,C-1005
2026-09-01,Сибирь,Электроника,116000,79,C-1007
2026-09-01,Урал,Электроника,93000,68,C-1002
2026-09-01,Центр,Дом и сад,81000,96,C-1003
2026-09-15,Сибирь,Дом и сад,87000,105,C-1001
2026-09-15,Урал,Одежда,,72,C-1008
2026-09-15,Центр,Электроника,135000,92,C-1005
